Date : 2023-01-01 11:17:42
Directory : /Users/junaid./Documents/GitHub/wrapify
Total : 99 files,  392858 codes, 1474 comments, 1160 blanks, all 395492 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          4 |    384,459 |          0 |         20 |    384,479 |
| JavaScript         |         69 |      6,033 |        903 |        753 |      7,689 |
| HTML               |          1 |      1,165 |         48 |        122 |      1,335 |
| JavaScript React   |         16 |      1,138 |        523 |        248 |      1,909 |
| JSON with Comments |          1 |         20 |          0 |          1 |         21 |
| Markdown           |          1 |         18 |          0 |         11 |         29 |
| XML                |          6 |         18 |          0 |          0 |         18 |
| CSS                |          1 |          7 |          0 |          5 |         12 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                      |         99 |    392,858 |      1,474 |      1,160 |    395,492 |
| components                                                                             |         15 |      1,032 |        519 |        233 |      1,784 |
| components/Item                                                                        |          5 |        223 |        154 |         58 |        435 |
| components/admin                                                                       |          1 |         66 |          1 |          6 |         73 |
| components/home                                                                        |          2 |         86 |         43 |         28 |        157 |
| data                                                                                   |          3 |        830 |          0 |         34 |        864 |
| middleware                                                                             |          1 |          9 |          0 |          1 |         10 |
| model                                                                                  |          6 |         82 |          0 |         10 |         92 |
| pages                                                                                  |         57 |      5,167 |        902 |        715 |      6,784 |
| pages/api                                                                              |         25 |      1,564 |        176 |        238 |      1,978 |
| pages/collection                                                                       |          3 |        236 |         35 |         53 |        324 |
| pages/collection/[design]                                                              |          1 |         65 |         15 |         14 |         94 |
| pages/mzart                                                                            |          2 |        206 |          6 |         31 |        243 |
| pages/mzart/admin                                                                      |          2 |        206 |          6 |         31 |        243 |
| pages/products                                                                         |          1 |        152 |        109 |         11 |        272 |
| pages/skin                                                                             |          7 |        495 |        412 |        123 |      1,030 |
| pages/skin/[brands]                                                                    |          6 |        422 |        407 |        107 |        936 |
| pages/skin/[brands]/[models]                                                           |          5 |        373 |        337 |         91 |        801 |
| pages/skin/[brands]/[models]/[design]                                                  |          1 |        113 |        286 |         34 |        433 |
| pages/skin/[brands]/[models]/dadu                                                      |          2 |         17 |          0 |          5 |         22 |
| public                                                                                 |          6 |         18 |          0 |          0 |         18 |
| public/icons                                                                           |          5 |         14 |          0 |          0 |         14 |
| styles                                                                                 |          1 |          7 |          0 |          5 |         12 |
| template                                                                               |          1 |      1,165 |         48 |        122 |      1,335 |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                               | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/junaid./Documents/GitHub/wrapify/README.md                                      | Markdown           |         18 |          0 |         11 |         29 |
| /Users/junaid./Documents/GitHub/wrapify/components/Footer.jsx                          | JavaScript React   |         44 |          0 |          5 |         49 |
| /Users/junaid./Documents/GitHub/wrapify/components/Footer2.jsx                         | JavaScript React   |        154 |        279 |         37 |        470 |
| /Users/junaid./Documents/GitHub/wrapify/components/Item/ItemComponent.jsx              | JavaScript React   |          9 |         39 |          3 |         51 |
| /Users/junaid./Documents/GitHub/wrapify/components/Item/NavDesDevice.jsx               | JavaScript React   |          7 |          0 |          2 |          9 |
| /Users/junaid./Documents/GitHub/wrapify/components/Item/NavMObDevice.jsx               | JavaScript React   |        133 |          1 |         34 |        168 |
| /Users/junaid./Documents/GitHub/wrapify/components/Item/Searchbar.jsx                  | JavaScript React   |         61 |         19 |         17 |         97 |
| /Users/junaid./Documents/GitHub/wrapify/components/Item/Theme.jsx                      | JavaScript React   |         13 |         95 |          2 |        110 |
| /Users/junaid./Documents/GitHub/wrapify/components/Navbar.jsx                          | JavaScript React   |         49 |         22 |          7 |         78 |
| /Users/junaid./Documents/GitHub/wrapify/components/Navbar2.jsx                         | JavaScript React   |        122 |         15 |         25 |        162 |
| /Users/junaid./Documents/GitHub/wrapify/components/Navbar3.jsx                         | JavaScript React   |        208 |          4 |         40 |        252 |
| /Users/junaid./Documents/GitHub/wrapify/components/NavdropMobile.jsx                   | JavaScript React   |         73 |          1 |         25 |         99 |
| /Users/junaid./Documents/GitHub/wrapify/components/Search.jsx                          | JavaScript React   |          7 |          0 |          2 |          9 |
| /Users/junaid./Documents/GitHub/wrapify/components/admin/Order.jsx                     | JavaScript React   |         66 |          1 |          6 |         73 |
| /Users/junaid./Documents/GitHub/wrapify/components/home/FeaturedPosts.jsx              | JavaScript React   |         59 |         43 |         24 |        126 |
| /Users/junaid./Documents/GitHub/wrapify/components/home/Popular.jsx                    | JavaScript React   |         27 |          0 |          4 |         31 |
| /Users/junaid./Documents/GitHub/wrapify/data/mobile.js                                 | JavaScript         |         99 |          0 |         10 |        109 |
| /Users/junaid./Documents/GitHub/wrapify/data/offers.js                                 | JavaScript         |         47 |          0 |          0 |         47 |
| /Users/junaid./Documents/GitHub/wrapify/data/products.js                               | JavaScript         |        684 |          0 |         24 |        708 |
| /Users/junaid./Documents/GitHub/wrapify/middleware/mongoose.js                         | JavaScript         |          9 |          0 |          1 |         10 |
